Name,GACC,State,Start_Date,Last_Report_Date,Size_Acres,Cause,Cost,Inc_Type,Contain_Control_Date,Year
Chalky,NR,MT,08/01/2012,08/03/2012,"131,000",L,"$50,000",WF,08/03/2012,2012.0
Clay Springs,EB,UT,06/27/2012,07/24/2012,"107,847",U,"$6,659,000",WF,07/24/2012,2012.0
Arapaho,RM,WY,06/27/2012,07/16/2012,"98,115",L,"$13,100,000",WF,07/16/2012,2012.0
Minidoka Complex,EB,ID,08/08/2012,08/23/2012,"97,616",L,"$5,801,271",WF,08/23/2012,2012.0
Barry Point,NW,OR,08/06/2012,09/17/2012,"93,071",L,"$23,247,235",WF,09/17/2012,2012.0
High Park,RM,CO,06/09/2012,07/11/2012,"87,284",L,"$38,400,000",WF,07/11/2012,2012.0
Region 23 Complex,RM,NE,08/28/2012,09/09/2012,"86,201",L,"$5,300,000",WF,09/09/2012,2012.0
Sarpy Hills Complex,NR,MT,07/31/2012,08/09/2012,"82,000",L,"$4,120,000",WF,08/09/2012,2012.0
Barker Canyon Complex,NW,WA,09/08/2012,09/15/2012,"81,155",L,"$2,290,268",WF,09/15/2012,2012.0
Wellnitz,RM,NE,08/29/2012,09/06/2012,"77,683",L,"$1,300,000",WF,09/06/2012,2012.0
Region 24 Complex,RM,NE,07/20/2012,07/29/2012,"76,242",L,"$3,251,141",WF,07/29/2012,2012.0
"Southeastern Montana
Complex",NR,MT,07/03/2012,07/11/2012,"75,501",L,"$5,105,000",WF,07/11/2012,2012.0
Chips,NO,CA,07/29/2012,09/08/2012,"75,431",U,"$53,300,000",WF,09/08/2012,2012.0
Cache Creek,NW,OR,08/20/2012,10/23/2012,"73,697",L,"$11,250,000",WF,10/23/2012,2012.0
Powell SBW Complex,NR,ID,07/20/2012,11/05/2012,"67,611",L,"$4,882,375",WF,11/05/2012,2012.0
Fontenelle,EB,WY,06/24/2012,10/18/2012,"65,220",U,"$12,650,000",WF,10/18/2012,2012.0
Oil Creek,RM,WY,06/29/2012,07/09/2012,"62,318",NR,"$5,282,964",WF,07/09/2012,2012.0
Lost,NO,CA,08/05/2012,08/12/2012,"61,541",L,"$3,700,000",WF,08/12/2012,2012.0
Freedom Hill,SA,OK,08/03/2012,08/20/2012,"58,500",H,"$200,000",WF,08/20/2012,2012.0
Wenatchee Complex,NW,WA,09/09/2012,10/30/2012,"56,478",L,"$32,394,876",WF,10/30/2012,2012.0
Bull Run Complex,WB,NV,08/09/2012,08/19/2012,"51,366",L,"$4,816,272",WF,08/19/2012,2012.0
