Name,GACC,State,Start_Date,Last_Report_Date,Size_Acres,Cause,Cost,Inc_Type,Year,Duration_Days,Start_Month
"Southeastern Montana
Complex",Unknown,MT,2012-07-03,2012-07-11,75501.0,L,5105000.0,WF,2012.0,8,7
Chips,NO,CA,2012-07-29,2012-09-08,75431.0,U,53300000.0,WF,2012.0,41,7
Cache Creek,NW,OR,2012-08-20,2012-10-23,73697.0,L,11250000.0,WF,2012.0,64,8
Powell SBW Complex,Unknown,ID,2012-07-20,2012-11-05,67611.0,L,4882375.0,WF,2012.0,108,7
Fontenelle,EB,WY,2012-06-24,2012-10-18,65220.0,U,12650000.0,WF,2012.0,116,6
Oil Creek,RM,WY,2012-06-29,2012-07-09,62318.0,Unknown,5282964.0,WF,2012.0,10,6
Lost,NO,CA,2012-08-05,2012-08-12,61541.0,L,3700000.0,WF,2012.0,7,8
Freedom Hill,SA,OK,2012-08-03,2012-08-20,58500.0,H,200000.0,WF,2012.0,17,8
Wenatchee Complex,NW,WA,2012-09-09,2012-10-30,56478.0,L,32394876.0,WF,2012.0,51,9
Bull Run Complex,WB,NV,2012-08-09,2012-08-19,51366.0,L,4816272.0,WF,2012.0,10,8
Jacks,EB,ID,2012-07-09,2012-07-20,50816.0,L,300000.0,WF,2012.0,11,7
Keith County Complex,RM,NE,2012-08-02,2012-08-05,50000.0,L,20000.0,WF,2012.0,3,8
Uvgoon Creek #1,AK,AK,2012-07-03,2012-11-06,49305.0,L,189325.0,WF,2012.0,126,7
Sheep,Unknown,ID,2012-09-06,2012-11-06,48626.0,H,18000000.0,WF,2012.0,61,9
Seeley,EB,UT,2012-06-26,2012-08-17,48050.0,L,8699000.0,WF,2012.0,52,6
Wood Hollow,EB,UT,2012-06-23,2012-07-19,47387.0,U,5787095.0,WF,2012.0,26,6
Dry Creek,AK,AK,2012-06-23,2012-11-15,47154.0,L,15000.0,WF,2012.0,145,6
Bagley,NO,CA,2012-08-18,2012-09-22,46011.0,L,37063416.0,WF,2012.0,35,8
Alpine Lake,RM,WY,2012-08-09,2012-10-25,45877.0,L,3850000.0,WF,2012.0,77,8
Last Chance,RM,CO,2012-06-25,2012-06-26,45000.0,U,10000.0,WF,2012.0,1,6
Little Bear,SW,NM,2012-06-04,2012-07-02,44330.0,L,19404877.0,WF,2012.0,28,6
Longhorn Complex,RM,SD,2012-07-19,2012-07-30,43639.0,L,4600000.0,WF,2012.0,11,7
McGuire Complex,Unknown,ID,2012-08-27,2012-10-29,43621.0,L,24741628.0,WF,2012.0,63,8
Dallas Canyon,EB,UT,2012-07-27,2012-08-03,43610.0,L,1854802.0,WF,2012.0,7,7
Willow,WB,NV,2012-08-05,2012-08-19,43271.0,L,3000000.0,WF,2012.0,14,8
Table Mountain,NW,WA,2012-09-08,2012-10-19,42312.0,L,195000.0,WF,2012.0,41,9
North Pass,NO,CA,2012-08-18,2012-09-17,41983.0,L,30493184.0,WF,2012.0,30,8
Delphia,Unknown,MT,2012-08-24,2012-09-01,40653.0,L,2450000.0,WF,2012.0,8,8
August Complex,NO,CA,2020-08-17,2020-11-11,1032648.0,U,115511218.0,WF,2020.0,86,8
"SCU Lightning
Complex",NO,CA,2020-08-16,2020-09-14,396624.0,U,69412351.0,WF,2020.0,29,8
SHF Elkhorn,NO,CA,2020-08-29,2020-09-09,391493.0,L,,WF,2020.0,11,8
Creek,SO,CA,2020-09-04,2020-12-17,379895.0,U,193000000.0,WF,2020.0,104,9
"LNU Lightning
Complex",NO,CA,2020-08-17,2020-10-01,363220.0,U,94646381.0,WF,2020.0,45,8
North Complex,NO,CA,2020-08-17,2020-12-02,318935.0,U,112711950.0,WF,2020.0,107,8
Pearl Hill,NW,WA,2020-09-07,2020-09-15,223730.0,U,4241353.0,WF,2020.0,8,9
Cameron Peak,RM,CO,2020-08-13,2020-12-04,208913.0,U,133300000.0,WF,2020.0,113,8
Lionshead,NW,OR,2020-08-16,2020-11-12,204469.0,L,65440000.0,WF,2020.0,88,8
East Troublesome,RM,WY,2020-10-14,2020-11-25,193812.0,U,15682681.0,WF,2020.0,42,10
Beachie Creek,NW,OR,2020-08-16,2020-10-28,193573.0,U,29838526.0,WF,2020.0,73,8
Bush,SW,AZ,2020-06-13,2020-07-03,193455.0,H,11642634.0,WF,2020.0,20,6
Cold Springs,NW,WA,2020-09-06,2020-09-19,189923.0,U,3917998.0,WF,2020.0,13,9
Mullen,RM,WY,2020-09-17,2020-12-10,176878.0,U,42400000.0,WF,2020.0,84,9
Castle,SO,CA,2020-08-19,2020-08-24,174178.0,L,,WF,2020.0,5,8
SQF Complex,SO,CA,2020-08-24,2020-12-17,174178.0,Unknown,,WF,2020.0,115,8
Holiday Farm,NW,OR,2020-09-07,2020-10-27,173393.0,U,29100932.0,WF,2020.0,50,9
Slater,NO,CA,2020-09-08,2020-11-15,157270.0,U,55043900.0,WF,2020.0,68,9
"Red Salmon
Complex",NO,CA,2020-07-28,2020-11-16,144698.0,L,,WF,2020.0,111,7
"August Complex
West Zone",NO,CA,2020-09-10,2020-10-14,140944.0,L,115300000.0,WF,2020.0,34,9
Pine Gulch,RM,CO,2020-07-31,2020-09-22,139007.0,U,35000000.0,WF,2020.0,53,7
Riverside,NW,OR,2020-09-08,2020-11-26,138054.0,H,20482000.0,WF,2020.0,79,9
Archie Creek,NW,OR,2020-09-08,2020-11-26,131542.0,U,40000000.0,WF,2020.0,79,9
Whitney,NW,WA,2020-09-07,2020-09-15,127430.0,U,3300000.0,WF,2020.0,8,9
Dolan,SO,CA,2020-08-18,2020-12-24,124924.0,U,74000000.0,WF,2020.0,128,8
Bighorn,SW,AZ,2020-06-05,2020-07-22,119978.0,L,44463612.0,WF,2020.0,47,6
Bobcat,SO,CA,2020-09-06,2020-11-27,115997.0,U,100000000.0,WF,2020.0,82,9
Woodhead,GB,ID,2020-09-07,2020-10-22,96614.0,H,11230000.0,WF,2020.0,45,9
Badger,GB,ID,2020-09-12,2020-10-10,90143.0,U,15800000.0,WF,2020.0,28,9
East Fork,GB,UT,2020-08-21,2020-11-19,90000.0,L,23523403.0,WF,2020.0,90,8
"CZU August
Lightning",NO,CA,2020-08-16,2020-09-21,86509.0,U,55900466.0,WF,2020.0,36,8
W-5 Cold Springs,NO,CA,2020-08-18,2020-09-13,84817.0,U,10300000.0,WF,2020.0,26,8
July Complex,NO,CA,2020-07-22,2020-08-18,83261.0,U,35000000.0,WF,2020.0,27,7
Caldwall,NO,CA,2020-07-22,2020-07-24,80859.0,U,34500000.0,WF,2020.0,2,7
Mendocino Complex,NO,CA,2018-07-27,2018-09-18,459123.0,U,220000000.0,WF,2018.0,53,7
Martin,GB,NV,2018-07-05,2018-07-21,435569.0,U,10000000.0,WF,2018.0,16,7
Rhea,SA,OK,2018-04-12,2018-04-26,286196.0,U,3800000.0,WF,2018.0,14,4
South Sugarloaf,GB,NV,2018-08-17,2018-10-10,233458.0,L,20000000.0,WF,2018.0,54,8
Carr,NO,CA,2018-07-23,2018-08-30,229651.0,U,162289294.0,WF,2018.0,38,7
Klondike,NW,OR,2018-07-15,2018-11-28,175258.0,L,104500000.0,WF,2018.0,136,7
Camp,NO,CA,2018-11-08,2018-11-25,153336.0,U,120000000.0,WF,2018.0,17,11
Goose Creek,GB,NV,2018-07-26,2018-08-10,132220.0,U,7850000.0,WF,2018.0,15,7
Spring Creek,RM,CO,2018-06-27,2018-09-06,108045.0,H,35000000.0,WF,2018.0,71,6
Pole Creek,GB,UT,2018-09-06,2018-10-08,102191.0,L,29100000.0,WF,2018.0,32,9
Boxcar,NW,OR,2018-06-21,2018-07-03,100207.0,U,3500000.0,WF,2018.0,12,6
Grassy Ridge,GB,ID,2018-07-26,2018-08-15,99502.0,L,3000000.0,WF,2018.0,20,7
Woolsey,SO,CA,2018-11-08,2018-11-27,96949.0,U,56943320.0,WF,2018.0,19,11
Ferguson,SO,CA,2018-07-13,2018-08-23,96901.0,U,150000000.0,WF,2018.0,41,7
County,NO,CA,2018-06-30,2018-07-14,90288.0,U,47000000.0,WF,2018.0,14,6
Avian Complex,SA,FL,2018-05-01,2018-05-29,82461.0,U,10781364.0,WF,2018.0,28,5
Substation,NW,OR,2018-07-17,2018-08-02,78425.0,H,4200000.0,WF,2018.0,16,7
Grass Valley,NW,WA,2018-08-11,2018-08-15,75573.0,U,875000.0,WF,2018.0,4,8
Mallard,SA,TX,2018-05-08,2018-05-20,75530.0,U,,WF,2018.0,12,5
Boylston,NW,WA,2018-07-19,2018-07-23,71200.0,U,995000.0,WF,2018.0,4,7
Dollar Ridge,GB,UT,2018-07-01,2018-08-29,70003.0,U,22000000.0,WF,2018.0,59,7
Zitziana River,AK,AK,2018-06-04,2018-09-07,69332.0,L,2440527.0,WF,2018.0,95,6
Sharps,GB,ID,2018-07-29,2018-09-13,64853.0,H,9500000.0,WF,2018.0,46,7
Delta,NO,CA,2018-09-05,2018-10-07,63311.0,H,64429020.0,WF,2018.0,32,9
Smith River Complex,NO,CA,2023-08-16,2023-11-15,95107.0,U,,WF,2023.0,91,8
York,SO,CA,2023-07-28,2023-08-19,93078.0,H,,WF,2023.0,22,7
Newell Road,NW,WA,2023-07-21,2023-07-30,60551.0,U,,WF,2023.0,9,7
Pass,SW,NM,2023-05-21,2023-08-31,59833.0,L,,WF,2023.0,102,5
Anderson Complex,AK,AK,2023-07-29,2023-08-24,58933.0,U,,WF,2023.0,26,7
Delta,AK,AK,2023-07-25,2023-08-31,57395.0,L,,WF,2023.0,37,7
