Name,GACC,State,Start_Date,Last_Report_Date,Size_Acres,Cause,Cost,Inc_Type,Year,Duration_Days,Start_Month,Cost_Source
Bobcat,SO,CA,2020-09-06,2020-11-27,115997.0,U,100000000.0,WF,2020.0,82,9,Original
Woodhead,GB,ID,2020-09-07,2020-10-22,96614.0,H,11230000.0,WF,2020.0,45,9,Original
Badger,GB,ID,2020-09-12,2020-10-10,90143.0,U,15800000.0,WF,2020.0,28,9,Original
East Fork,GB,UT,2020-08-21,2020-11-19,90000.0,L,23523403.0,WF,2020.0,90,8,Original
"CZU August
Lightning",NO,CA,2020-08-16,2020-09-21,86509.0,U,55900466.0,WF,2020.0,36,8,Original
W-5 Cold Springs,NO,CA,2020-08-18,2020-09-13,84817.0,U,10300000.0,WF,2020.0,26,8,Original
July Complex,NO,CA,2020-07-22,2020-08-18,83261.0,U,35000000.0,WF,2020.0,27,7,Original
Caldwall,NO,CA,2020-07-22,2020-07-24,80859.0,U,34500000.0,WF,2020.0,2,7,Original
Mendocino Complex,NO,CA,2018-07-27,2018-09-18,459123.0,U,220000000.0,WF,2018.0,53,7,Original
Martin,GB,NV,2018-07-05,2018-07-21,435569.0,U,10000000.0,WF,2018.0,16,7,Original
Rhea,SA,OK,2018-04-12,2018-04-26,286196.0,U,3800000.0,WF,2018.0,14,4,Original
South Sugarloaf,GB,NV,2018-08-17,2018-10-10,233458.0,L,20000000.0,WF,2018.0,54,8,Original
Carr,NO,CA,2018-07-23,2018-08-30,229651.0,U,162289294.0,WF,2018.0,38,7,Original
Klondike,NW,OR,2018-07-15,2018-11-28,175258.0,L,104500000.0,WF,2018.0,136,7,Original
Camp,NO,CA,2018-11-08,2018-11-25,153336.0,U,120000000.0,WF,2018.0,17,11,Original
Goose Creek,GB,NV,2018-07-26,2018-08-10,132220.0,U,7850000.0,WF,2018.0,15,7,Original
Spring Creek,RM,CO,2018-06-27,2018-09-06,108045.0,H,35000000.0,WF,2018.0,71,6,Original
