Name,Start_Date,Last_Report_Date,Size_Acres,Cost,Year,Duration_Days,Start_Month,Start_Year,Start_Day,Start_Weekday,Last_Year,GACC_EB,GACC_GB,GACC_NO,GACC_NW,GACC_NW/WB,GACC_RM,GACC_SA,GACC_SO,GACC_SW,GACC_Unknown,GACC_WB,State_AZ,State_CA,State_CO,State_FL,State_GA,State_ID,State_KS,State_MN,State_MT,State_NC,State_NE,State_NM,State_NV,State_OK,State_OR,State_OR/NV,State_SD,State_TX,State_UT,State_WA,State_WY,Cause_L,Cause_N,Cause_U,Cause_Unknown
Beaver Creek,2013-08-07,2013-09-02,111490.0,26500000.0,2013.0,26,8,2013,7,2,2013,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
West Fork Complex,2013-06-05,2013-10-31,109615.0,31261047.0,2013.0,148,6,2013,5,2,2013,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
Stuart Creek #2,2013-06-19,2013-08-23,87064.0,20984698.0,2013.0,65,6,2013,19,2,2013,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Colockum Tarps,2013-07-27,2013-08-18,80184.0,11000000.0,2013.0,22,7,2013,27,5,2013,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
Mississippi,2013-05-30,2013-11-02,67338.0,5220000.0,2013.0,156,5,2013,30,3,2013,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Beaver Log Lakes,2013-06-22,2013-08-28,64499.0,1847258.0,2013.0,67,6,2013,22,5,2013,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
Prospect Creek,2013-06-20,2013-09-03,64078.0,98377.0,2013.0,75,6,2013,20,3,2013,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
Sandless Lake,2013-06-25,2013-09-03,62318.0,10000.0,2013.0,70,6,2013,25,1,2013,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
Sunnyside Turnoff,2013-07-20,2013-09-03,51340.0,4000000.0,2013.0,45,7,2013,20,5,2013,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
Douglas Complex,2013-07-26,2013-10-18,48679.0,55000000.0,2013.0,84,7,2013,26,4,2013,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False
